---------------- Exercise A -----------------
Extremum of Rosen:
x=   1.00001 y=   1.00003
---------------- Exercise B ----------------
Lowest Energy: 
E0=  -0.500002
E0_B=  -0.502287



# Data for
#xi      Theoratical          Calculated
 0.0110409  0.0109196  0.0109191
 0.0193296  0.0189595   0.018958
 0.0273086  0.0265729  0.0265704
 0.0350129  0.0338082  0.0338046
 0.0425151  0.0407454  0.0407407
 0.0498767    0.04745  0.0474443
 0.0571435  0.0539697  0.0539629
  0.064348  0.0603377  0.0603299
 0.0715126  0.0665771  0.0665682
  0.078653  0.0727037  0.0726937
 0.0857801  0.0787286  0.0787176
 0.0929017  0.0846597  0.0846476
  0.100023  0.0905026  0.0904895
  0.107149  0.0962615  0.0962473
  0.114281   0.101939   0.101924
  0.121422   0.107539   0.107523
  0.128575   0.113062   0.113045
   0.13574    0.11851   0.118492
  0.142918   0.123885   0.123866
  0.150111   0.129188   0.129167
   0.15732   0.134419   0.134397
  0.164545    0.13958   0.139558
  0.171787   0.144672   0.144648
  0.179047   0.149695   0.149671
  0.186326   0.154651   0.154626
  0.193624    0.15954   0.159514
  0.200942   0.164363   0.164335
  0.208281    0.16912   0.169091
  0.215641   0.173812   0.173783
  0.223023    0.17844    0.17841
  0.230428   0.183004   0.182973
  0.237856   0.187506   0.187473
  0.245308   0.191944   0.191911
  0.252784   0.196321   0.196287
  0.260286   0.200637   0.200602
  0.267814   0.204891   0.204855
  0.275369   0.209085   0.209049
  0.282951    0.21322   0.213182
  0.290561   0.217295   0.217256
  0.298201    0.22131   0.221271
   0.30587   0.225268   0.225227
  0.313569   0.229167   0.229126
    0.3213   0.233009   0.232966
  0.329063   0.236793    0.23675
  0.336858    0.24052   0.240476
  0.344688   0.244191   0.244146
  0.352552   0.247806    0.24776
  0.360451   0.251365   0.251319
  0.368387   0.254868   0.254821
  0.376361   0.258317   0.258269
  0.384372   0.261711   0.261662
  0.392423    0.26505      0.265
  0.400515   0.268335   0.268285
  0.408647   0.271566   0.271515
  0.416823   0.274744   0.274692
  0.425041   0.277868   0.277815
  0.433304   0.280939   0.280885
  0.441613   0.283957   0.283902
  0.449969   0.286922   0.286867
  0.458373   0.289835   0.289779
  0.466826   0.292695   0.292639
   0.47533   0.295503   0.295446
  0.483886   0.298259   0.298202
  0.492495   0.300964   0.300905
  0.501159   0.303616   0.303557
  0.509879   0.306217   0.306157
  0.518656   0.308766   0.308706
  0.527492   0.311264   0.311203
  0.536388    0.31371   0.313648
  0.545347   0.316105   0.316043
  0.554369   0.318449   0.318385
  0.563456   0.320741   0.320677
   0.57261   0.322981   0.322917
  0.581833   0.325171   0.325106
  0.591126   0.327308   0.327243
  0.600491   0.329395   0.329328
   0.60993   0.331429   0.331362
  0.619445   0.333412   0.333344
  0.629038   0.335343   0.335275
  0.638711   0.337222   0.337153
  0.648465   0.339049   0.338979
  0.658304   0.340823   0.340753
  0.668229   0.342545   0.342474
  0.678242   0.344214   0.344142
  0.688346   0.345829   0.345758
  0.698544   0.347392    0.34732
  0.708836   0.348901   0.348828
  0.719227   0.350356   0.350283
  0.729718   0.351757   0.351683
  0.740312   0.353103   0.353029
  0.751013   0.354394   0.354319
  0.761821    0.35563   0.355555
  0.772742    0.35681   0.356734
  0.783777   0.357934   0.357857
  0.794929      0.359   0.358924
  0.806202    0.36001   0.359933
  0.817599   0.360962   0.360884
  0.829123   0.361856   0.361778
  0.840778    0.36269   0.362612
  0.852567   0.363466   0.363387
  0.864494   0.364181   0.364101
  0.876563   0.364835   0.364755
  0.888777   0.365428   0.365348
  0.901142   0.365959   0.365878
   0.91366   0.366427   0.366346
  0.926337   0.366831   0.366749
  0.939177   0.367171   0.367089
  0.952184   0.367445   0.367363
  0.965365   0.367654   0.367571
  0.978723   0.367795   0.367712
  0.992264   0.367868   0.367785
   1.00599   0.367873   0.367789
   1.01992   0.367807   0.367723
   1.03404   0.367671   0.367587
   1.04837   0.367463   0.367378
   1.06292   0.367181   0.367096
   1.07768   0.366825    0.36674
   1.09267   0.366394   0.366308
    1.1079   0.365886     0.3658
   1.12337     0.3653   0.365214
   1.13909   0.364634   0.364548
   1.15507   0.363888   0.363801
   1.17132   0.363059   0.362973
   1.18785   0.362147    0.36206
   1.20467   0.361149   0.361062
   1.22179   0.360064   0.359977
   1.23922   0.358891   0.358803
   1.25697   0.357627   0.357539
   1.27506    0.35627   0.356182
    1.2935   0.354819   0.354731
    1.3123   0.353272   0.353183
   1.33148   0.351625   0.351537
   1.35106   0.349878    0.34979
   1.37105   0.348028   0.347939
   1.39147   0.346071   0.345983
   1.41235   0.344007   0.343918
    1.4337    0.34183   0.341741
   1.45554    0.33954   0.339451
   1.47791   0.337132   0.337043
   1.50083   0.334603   0.334514
   1.52432   0.331949    0.33186
   1.54843   0.329168   0.329079
   1.57317   0.326254   0.326165
    1.5986   0.323204   0.323115
   1.62475   0.320012   0.319923
   1.65167   0.316674   0.316585
    1.6794   0.313185   0.313096
   1.70799   0.309538   0.309449
   1.73752   0.305727   0.305639
   1.76804   0.301746   0.301657
   1.79963   0.297587   0.297499
   1.83236   0.293242   0.293154
   1.86634   0.288702   0.288614
   1.90165   0.283958    0.28387
   1.93841      0.279   0.278912
   1.97676   0.273815   0.273728
   2.01683   0.268392   0.268305
   2.05879   0.262718   0.262631
   2.10282   0.256778   0.256691
   2.14913   0.250558   0.250471
   2.19793   0.244042   0.243956
   2.24948   0.237217   0.237131
   2.30404   0.230069   0.229984
   2.36187   0.222592   0.222507
   2.42321   0.214785   0.214701
   2.48825   0.206662   0.206579
   2.55706   0.198255   0.198173
   2.62955   0.189619   0.189539
   2.70541   0.180838   0.180759
   2.78412   0.172013   0.171937
   2.86501   0.163256   0.163183
   2.94736   0.154671   0.154601
   3.03055   0.146342   0.146276
   3.11407   0.138326   0.138264
   3.19759   0.130655   0.130597
   3.28094    0.12334   0.123286
   3.36407   0.116377   0.116327
   3.44704   0.109753   0.109706
   3.52995    0.10345   0.103407
   3.61296  0.0974484  0.0974099
   3.69623  0.0917292  0.0916946
   3.77994  0.0862738  0.0862428
   3.86428   0.081065  0.0810376
   3.94944  0.0760877  0.0760638
   4.03563  0.0713282  0.0713077
   4.12302  0.0667745  0.0667573
   4.21183  0.0624161   0.062402
   4.30226  0.0582435  0.0582326
   4.39454  0.0542488  0.0542408
   4.48888  0.0504246  0.0504194
   4.58553  0.0467647  0.0467623
   4.68476  0.0432635  0.0432638
   4.78685  0.0399162   0.039919
    4.8921  0.0367184  0.0367238
   5.00086  0.0336666  0.0336744
   5.11351  0.0307575  0.0307675
   5.23048  0.0279882  0.0280005
   5.35224  0.0253564  0.0253708
   5.47935    0.02286  0.0228765
   5.61244  0.0204974  0.0205159
   5.75224  0.0182672  0.0182876
   5.89958  0.0161683  0.0161905
   6.05548     0.0142  0.0142238
   6.22111  0.0123616   0.012387
    6.3979  0.0106528  0.0106797
   6.58757  0.0090736 0.00910176
   6.79224 0.00762395 0.00765324
   7.01455 0.00630406 0.00633423
   7.25782 0.00511415 0.00514488
   7.52635 0.00405444 0.00408526
   7.82575 0.00312496 0.00315515
   8.16356 0.00232536 0.00235376
   8.55016 0.00165458 0.00167925
   9.00025 0.00111044 0.00112775
   9.53549 0.000688862 0.000691535
        10 0.000453999 0.000427994
